m/z,Formula,ID,IsotopeLabel,Ion form,Compound
74.0247544,C2H5NO2,1,C12 PARENT,[M-H]-,Glycine
75.02810924,C2H5NO2,1,C13-label-1,[M-H]-,Glycine
76.03146407,C2H5NO2,1,C13-label-2,[M-H]-,Glycine
124.0073911,C2H7NO3S,2,C12 PARENT,[M-H]-,Taurine
125.0107459,C2H7NO3S,2,C13-label-1,[M-H]-,Taurine
126.0141008,C2H7NO3S,2,C13-label-2,[M-H]-,Taurine
154.9751059,C2H5O6P,3,C12 PARENT,[M-H]-,Phosphoglycolate
155.9784607,C2H5O6P,3,C13-label-1,[M-H]-,Phosphoglycolate
156.9818156,C2H5O6P,3,C13-label-2,[M-H]-,Phosphoglycolate
125.0009239,C2H7O4P,4,C12 PARENT,[M-H]-,Ethylphosphate
126.0042787,C2H7O4P,4,C13-label-1,[M-H]-,Ethylphosphate
127.0076336,C2H7O4P,4,C13-label-2,[M-H]-,Ethylphosphate
87.0087714,C3H4O3,5,C12 PARENT,[M-H]-,Pyruvate
88.01212624,C3H4O3,5,C13-label-1,[M-H]-,Pyruvate
89.01548107,C3H4O3,5,C13-label-2,[M-H]-,Pyruvate
90.01883591,C3H4O3,5,C13-label-3,[M-H]-,Pyruvate
88.0404044,C3H7NO2,6,C12 PARENT,[M-H]-,Alanine
89.04375924,C3H7NO2,6,C13-label-1,[M-H]-,Alanine
90.04711407,C3H7NO2,6,C13-label-2,[M-H]-,Alanine
91.05046891,C3H7NO2,6,C13-label-3,[M-H]-,Alanine
89.0244214,C3H6O3,7,C12 PARENT,[M-H]-,Lactic acid
90.02777624,C3H6O3,7,C13-label-1,[M-H]-,Lactic acid
91.03113107,C3H6O3,7,C13-label-2,[M-H]-,Lactic acid
92.03448591,C3H6O3,7,C13-label-3,[M-H]-,Lactic acid
103.0036874,C3H4O4,8,C12 PARENT,[M-H]-,Malonate
104.0070422,C3H4O4,8,C13-label-1,[M-H]-,Malonate
105.0103971,C3H4O4,8,C13-label-2,[M-H]-,Malonate
106.0137519,C3H4O4,8,C13-label-3,[M-H]-,Malonate
104.0353204,C3H7NO3,9,C12 PARENT,[M-H]-,Serine
105.0386752,C3H7NO3,9,C13-label-1,[M-H]-,Serine
106.0420301,C3H7NO3,9,C13-label-2,[M-H]-,Serine
107.0453849,C3H7NO3,9,C13-label-3,[M-H]-,Serine
105.0193374,C3H6O4,10,C12 PARENT,[M-H]-,Glyceric acid
106.0226922,C3H6O4,10,C13-label-1,[M-H]-,Glyceric acid
107.0260471,C3H6O4,10,C13-label-2,[M-H]-,Glyceric acid
108.0294019,C3H6O4,10,C13-label-3,[M-H]-,Glyceric acid
166.9751059,C3H5O6P,11,C12 PARENT,[M-H]-,Phosphoenolpyruvate
167.9784607,C3H5O6P,11,C13-label-1,[M-H]-,Phosphoenolpyruvate
168.9818156,C3H5O6P,11,C13-label-2,[M-H]-,Phosphoenolpyruvate
169.9851704,C3H5O6P,11,C13-label-3,[M-H]-,Phosphoenolpyruvate
152.0023071,C3H7NO4S,12,C12 PARENT,[M-H]-,Cysteinesulfinic acid
153.0056619,C3H7NO4S,12,C13-label-1,[M-H]-,Cysteinesulfinic acid
154.0090168,C3H7NO4S,12,C13-label-2,[M-H]-,Cysteinesulfinic acid
155.0123716,C3H7NO4S,12,C13-label-3,[M-H]-,Cysteinesulfinic acid
184.9856719,C3H7O7P,13,C12 PARENT,[M-H]-,Phosphoglyceric acid
185.9890267,C3H7O7P,13,C13-label-1,[M-H]-,Phosphoglyceric acid
186.9923816,C3H7O7P,13,C13-label-2,[M-H]-,Phosphoglyceric acid
