m/z,Formula,ID,IsotopeLabel,Ion form,Compound
90.0549576,C3H7NO2,1001,C12 PARENT,[M+H]+,Alanine
91.05831244,C3H7NO2,1001,C13-label-1,[M+H]+,Alanine
92.06166727,C3H7NO2,1001,C13-label-2,[M+H]+,Alanine
93.06502211,C3H7NO2,1001,C13-label-3,[M+H]+,Alanine
106.0498736,C3H7NO3,1002,C12 PARENT,[M+H]+,Serine
107.0532284,C3H7NO3,1002,C13-label-1,[M+H]+,Serine
108.0565833,C3H7NO3,1002,C13-label-2,[M+H]+,Serine
109.0599381,C3H7NO3,1002,C13-label-3,[M+H]+,Serine
87.0440586,C4H6O2,1003,C12 PARENT,[M+H]+,Diacetyl
88.04741344,C4H6O2,1003,C13-label-1,[M+H]+,Diacetyl
89.05076827,C4H6O2,1003,C13-label-2,[M+H]+,Diacetyl
90.05412311,C4H6O2,1003,C13-label-3,[M+H]+,Diacetyl
91.05747794,C4H6O2,1003,C13-label-4,[M+H]+,Diacetyl
102.0549576,C4H7NO2,1004,C12 PARENT,[M+H]+,Methyl-alanine
103.0583124,C4H7NO2,1004,C13-label-1,[M+H]+,Methyl-alanine
104.0616673,C4H7NO2,1004,C13-label-2,[M+H]+,Methyl-alanine
105.0650221,C4H7NO2,1004,C13-label-3,[M+H]+,Methyl-alanine
106.0683769,C4H7NO2,1004,C13-label-4,[M+H]+,Methyl-alanine
104.0706076,C4H9NO2,1005,C12 PARENT,[M+H]+,Aminobutanoate
105.0739624,C4H9NO2,1005,C13-label-1,[M+H]+,Aminobutanoate
106.0773173,C4H9NO2,1005,C13-label-2,[M+H]+,Aminobutanoate
107.0806721,C4H9NO2,1005,C13-label-3,[M+H]+,Aminobutanoate
108.0840269,C4H9NO2,1005,C13-label-4,[M+H]+,Aminobutanoate
133.0607726,C4H8N2O3,1006,C12 PARENT,[M+H]+,Asparagine
134.0641274,C4H8N2O3,1006,C13-label-1,[M+H]+,Asparagine
135.0674823,C4H8N2O3,1006,C13-label-2,[M+H]+,Asparagine
136.0708371,C4H8N2O3,1006,C13-label-3,[M+H]+,Asparagine
137.0741919,C4H8N2O3,1006,C13-label-4,[M+H]+,Asparagine
80.0494756,C5H5N,1007,C12 PARENT,[M+H]+,Pyridine
81.05283044,C5H5N,1007,C13-label-1,[M+H]+,Pyridine
82.05618527,C5H5N,1007,C13-label-2,[M+H]+,Pyridine
83.05954011,C5H5N,1007,C13-label-3,[M+H]+,Pyridine
84.06289494,C5H5N,1007,C13-label-4,[M+H]+,Pyridine
85.06624978,C5H5N,1007,C13-label-5,[M+H]+,Pyridine
126.0661896,C5H7N3O,1008,C12 PARENT,[M+H]+,Methylcytosine
127.0695444,C5H7N3O,1008,C13-label-1,[M+H]+,Methylcytosine
128.0728993,C5H7N3O,1008,C13-label-2,[M+H]+,Methylcytosine
129.0762541,C5H7N3O,1008,C13-label-3,[M+H]+,Methylcytosine
130.0796089,C5H7N3O,1008,C13-label-4,[M+H]+,Methylcytosine
131.0829638,C5H7N3O,1008,C13-label-5,[M+H]+,Methylcytosine
130.0498736,C5H7NO3,1009,C12 PARENT,[M+H]+,Oxoproline
131.0532284,C5H7NO3,1009,C13-label-1,[M+H]+,Oxoproline
132.0565833,C5H7NO3,1009,C13-label-2,[M+H]+,Oxoproline
133.0599381,C5H7NO3,1009,C13-label-3,[M+H]+,Oxoproline
134.0632929,C5H7NO3,1009,C13-label-4,[M+H]+,Oxoproline
135.0666478,C5H7NO3,1009,C13-label-5,[M+H]+,Oxoproline
147.0764226,C5H10N2O3,1010,C12 PARENT,[M+H]+,Glutamine
148.0797774,C5H10N2O3,1010,C13-label-1,[M+H]+,Glutamine
149.0831323,C5H10N2O3,1010,C13-label-2,[M+H]+,Glutamine
150.0864871,C5H10N2O3,1010,C13-label-3,[M+H]+,Glutamine
151.0898419,C5H10N2O3,1010,C13-label-4,[M+H]+,Glutamine
152.0931968,C5H10N2O3,1010,C13-label-5,[M+H]+,Glutamine
148.0604396,C5H9NO4,1011,C12 PARENT,[M+H]+,Glutamate
149.0637944,C5H9NO4,1011,C13-label-1,[M+H]+,Glutamate
150.0671493,C5H9NO4,1011,C13-label-2,[M+H]+,Glutamate
151.0705041,C5H9NO4,1011,C13-label-3,[M+H]+,Glutamate
152.0738589,C5H9NO4,1011,C13-label-4,[M+H]+,Glutamate
153.0772138,C5H9NO4,1011,C13-label-5,[M+H]+,Glutamate
156.0767556,C6H9N3O2,1012,C12 PARENT,[M+H]+,Histidine
157.0801104,C6H9N3O2,1012,C13-label-1,[M+H]+,Histidine
158.0834653,C6H9N3O2,1012,C13-label-2,[M+H]+,Histidine
159.0868201,C6H9N3O2,1012,C13-label-3,[M+H]+,Histidine
160.0901749,C6H9N3O2,1012,C13-label-4,[M+H]+,Histidine
161.0935298,C6H9N3O2,1012,C13-label-5,[M+H]+,Histidine
162.0968846,C6H9N3O2,1012,C13-label-6,[M+H]+,Histidine
176.1029716,C6H13N3O3,1013,C12 PARENT,[M+H]+,Citrulline
177.1063264,C6H13N3O3,1013,C13-label-1,[M+H]+,Citrulline
178.1096813,C6H13N3O3,1013,C13-label-2,[M+H]+,Citrulline
179.1130361,C6H13N3O3,1013,C13-label-3,[M+H]+,Citrulline
180.1163909,C6H13N3O3,1013,C13-label-4,[M+H]+,Citrulline
181.1197458,C6H13N3O3,1013,C13-label-5,[M+H]+,Citrulline
182.1231006,C6H13N3O3,1013,C13-label-6,[M+H]+,Citrulline
154.0498736,C7H7NO3,1014,C12 PARENT,[M+H]+,Amino-hydroxybenzoate
155.0532284,C7H7NO3,1014,C13-label-1,[M+H]+,Amino-hydroxybenzoate
156.0565833,C7H7NO3,1014,C13-label-2,[M+H]+,Amino-hydroxybenzoate
157.0599381,C7H7NO3,1014,C13-label-3,[M+H]+,Amino-hydroxybenzoate
158.0632929,C7H7NO3,1014,C13-label-4,[M+H]+,Amino-hydroxybenzoate
159.0666478,C7H7NO3,1014,C13-label-5,[M+H]+,Amino-hydroxybenzoate
160.0700026,C7H7NO3,1014,C13-label-6,[M+H]+,Amino-hydroxybenzoate
161.0733574,C7H7NO3,1014,C13-label-7,[M+H]+,Amino-hydroxybenzoate
138.0913416,C8H11NO,1015,C12 PARENT,[M+H]+,Hydroxyphenethylamine
139.0946964,C8H11NO,1015,C13-label-1,[M+H]+,Hydroxyphenethylamine
140.0980513,C8H11NO,1015,C13-label-2,[M+H]+,Hydroxyphenethylamine
141.1014061,C8H11NO,1015,C13-label-3,[M+H]+,Hydroxyphenethylamine
142.1047609,C8H11NO,1015,C13-label-4,[M+H]+,Hydroxyphenethylamine
143.1081158,C8H11NO,1015,C13-label-5,[M+H]+,Hydroxyphenethylamine
144.1114706,C8H11NO,1015,C13-label-6,[M+H]+,Hydroxyphenethylamine
145.1148254,C8H11NO,1015,C13-label-7,[M+H]+,Hydroxyphenethylamine
146.1181803,C8H11NO,1015,C13-label-8,[M+H]+,Hydroxyphenethylamine
187.0601066,C8H10O5,1016,C12 PARENT,[M+H]+,Erinapyrone C
188.0634614,C8H10O5,1016,C13-label-1,[M+H]+,Erinapyrone C
189.0668163,C8H10O5,1016,C13-label-2,[M+H]+,Erinapyrone C
190.0701711,C8H10O5,1016,C13-label-3,[M+H]+,Erinapyrone C
191.0735259,C8H10O5,1016,C13-label-4,[M+H]+,Erinapyrone C
192.0768808,C8H10O5,1016,C13-label-5,[M+H]+,Erinapyrone C
193.0802356,C8H10O5,1016,C13-label-6,[M+H]+,Erinapyrone C
194.0835904,C8H10O5,1016,C13-label-7,[M+H]+,Erinapyrone C
195.0869453,C8H10O5,1016,C13-label-8,[M+H]+,Erinapyrone C
132.0807756,C9H9N,1017,C12 PARENT,[M+H]+,Aminopropiophenone
133.0841304,C9H9N,1017,C13-label-1,[M+H]+,Aminopropiophenone
134.0874853,C9H9N,1017,C13-label-2,[M+H]+,Aminopropiophenone
135.0908401,C9H9N,1017,C13-label-3,[M+H]+,Aminopropiophenone
136.0941949,C9H9N,1017,C13-label-4,[M+H]+,Aminopropiophenone
137.0975498,C9H9N,1017,C13-label-5,[M+H]+,Aminopropiophenone
138.1009046,C9H9N,1017,C13-label-6,[M+H]+,Aminopropiophenone
139.1042594,C9H9N,1017,C13-label-7,[M+H]+,Aminopropiophenone
140.1076143,C9H9N,1017,C13-label-8,[M+H]+,Aminopropiophenone
218.1386896,C10H19NO4,1018,C12 PARENT,[M+H]+,Propionylcarnitine
219.1420444,C10H19NO4,1018,C13-label-1,[M+H]+,Propionylcarnitine
220.1453993,C10H19NO4,1018,C13-label-2,[M+H]+,Propionylcarnitine
221.1487541,C10H19NO4,1018,C13-label-3,[M+H]+,Propionylcarnitine
222.1521089,C10H19NO4,1018,C13-label-4,[M+H]+,Propionylcarnitine
223.1554638,C10H19NO4,1018,C13-label-5,[M+H]+,Propionylcarnitine
224.1588186,C10H19NO4,1018,C13-label-6,[M+H]+,Propionylcarnitine
225.1621734,C10H19NO4,1018,C13-label-7,[M+H]+,Propionylcarnitine
226.1655283,C10H19NO4,1018,C13-label-8,[M+H]+,Propionylcarnitine
276.1190196,C10H17N3O6,1019,C12 PARENT,[M+H]+,Glutaminylglutamic acid
277.1223744,C10H17N3O6,1019,C13-label-1,[M+H]+,Glutaminylglutamic acid
278.1257293,C10H17N3O6,1019,C13-label-2,[M+H]+,Glutaminylglutamic acid
279.1290841,C10H17N3O6,1019,C13-label-3,[M+H]+,Glutaminylglutamic acid
280.1324389,C10H17N3O6,1019,C13-label-4,[M+H]+,Glutaminylglutamic acid
281.1357938,C10H17N3O6,1019,C13-label-5,[M+H]+,Glutaminylglutamic acid
